text_id,round,text,label,id,group,AI_confidence,Human_confidence
229,1,突然感觉新浪微博的聊天客户端有点不伦不类······我真的有要用客户端的需求吗？这样不就失去新浪刷微博的乐趣了·····,2,1,A,,5
45,2,朴北鼻眼睛蒲扇的样子真心的扼杀了我~~~[惊哭] 还有喉咙处小肉肉缩上去的感觉~也好喜欢的~~[惊哭] 北鼻啊~~~~,0,1,A,,5
740,3,经理很仁慈地说：你只要做技术标就行了，商务标我来做。。。我勒个去，商务标不就是填个报价表么！你为什么讲的如此艰辛好像我占了很大的便宜啊！摔！！！,1,1,A,,5
942,4,恭喜美满蕉园除开水晶郦城店后的解放碑形象店，顺利绽放！非常好吃，最近很迷泰国菜！好吃！,4,1,A,,5
471,5,"[泪] 天啊,几个月没登录信用卡网银,我的信用卡积分有13730分竟然在4月30号到期了,太没天理了.........浪费我的好多表情,现在只有5W的积分了....",0,1,A,,5
622,6,现在真的好恐怖啊。。。那个我现在还在回想。。。。妈的！！！！！我瞎了眼看到那个东西。。。。现在最炫民族风单曲大声循环中，真的能给我壮胆。。。,5,1,A,,5
690,7,word文档英文8页翻译成中文4页多9行！完工了有木有！！！！！翻译天书专业文献的孩纸伤不起啊有木有！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,1,1,A,,5
926,8,我发现，新闻最近经常报道老人摔倒在路上或晕倒在路上都没人敢上去帮助了。高二那年回家的路上扶起一位发生车祸的老人回家后也被老妈教育。我真的想不明白社会的发展竟然到了如此地步，到底是良心磨灭，还是社会现实。,1,1,A,,5
99,9,难得一时兴起注册个其他明星的官网，狗屁条件一堆，注册的时候要写注册理由（神经，当然是因为喜欢才注册么，NC不NC啊这问的= =），下载东西还要等级，没到规定还不让你下，注册了不发帖的还会把你清掉。。。相比较，BIBISKY真是太好了，怀念我06年常常混迹于官网的日子[泪],4,1,A,,5
206,10,此微博虽说不上山明水秀，可是也别有一番风味[g无所谓]@周踌琢@这就是我花园 @勤劳的肖坤 @sikwan的空间 @benjaminzhai花园,6,1,A,,5
996,11,终于吃完了中秋节之饭，下午在棚里忙了一下午，感受了到，一个节目可以包两个棚来搞，时间充足，爽啊，这肯定能做成好节目啊，中秋节快乐！,4,1,A,,5
643,12,作为一个ceo，大到安排新闻媒体采访，小到礼物打包，演唱会后勤，拍照，食宿安排.......所有事情全部亲力亲为~~~真的很感动！！！！还有演唱会的呼吁全场喊JYJ的小纸条，这种主办这种合作人去哪找！！！！！,0,1,A,,5
42,13,多少年旅游都不跟团，这次算是半跟团，还是一样像幼儿园小朋友让导游牵着走…起那一大早，走庸俗的路线，听导游背熟到没有逗号的话…为什么那么多年我们的旅游业没有一点进步，总让跟团得我们觉得旅游是遭罪？各种困各种累…,2,1,A,,5
648,14,笑死掉[ok]//@假惺惺smile:新天生一对里面的小胖妹//@王小兔TUTU:[c看热闹]太好笑了.,1,1,A,,5
414,15,转发微博// @新浪体育 欧文：多么精彩的比赛！C罗绝对是一个进球机器！经历了昨晚的比赛以后别再预测谁能进决赛了！,0,1,A,,5
857,16,今天是自己来北京整整三年，08年的10月22号，我来到敲击，今天，三年整。回忆很多，积累很多，经历很多，得到很多。感谢三年间父母的支持，感谢老师的教导，感谢朋友的帮助，感谢这个牛逼的城市，感谢更牛逼的敲击时代。一切还要继续，向前走。坚持到底。,5,1,A,,5
572,17,家里的樱花虾终于繁殖了，不过捞出来有点困难，大部分集中在水草里，上滤网中也密密麻麻都是，目前个体伸展长度大概2mm，非常可爱！,6,1,A,,5
884,18,首播木有看的，记得看21点40的重播。万恶的收视率啊，给点力吧~鉴于我这么卖力的吆喝，大家也给点面儿吧[哈哈],3,1,A,,5
888,19,今天外面转一圈看到2场车祸，都是追尾，春困秋乏，晚上上网时间太长，白天开车容易走神。希望各位开车的朋友晚上早点睡觉，保持良好的精神状态。祝大家平安！,5,1,A,,5
769,20,这真是碉堡了，给跪了。[bobo纠结]@此用户已存在2011 @这就是我花园 @勤劳的肖坤 @斎抧 @周踌琢,2,1,A,,5
765,21,从仙台市政厅采访完出来，居然接到剑平的电话，我的日本手机已经没信号很久了，我的上海133手机居然还打得进来，实在太让我惊讶了。,3,1,A,,5
592,22,有论坛有人说森海5200长得好丑，结果被一顿呸起，我还是很有眼光的么，森海的东西长得就是讨人喜欢~等我发达了我要买来收藏！！！,2,1,A,,5
