text_id,round,text,label,id,group,AI_confidence,Human_confidence
513,1,冬雨绵绵，寒风阵阵，真庆幸我不是从被窝里被叫起来的那个[偷笑] 我是叫人起床的那个。哈哈[嘻嘻] 但愿在车上能让我好好睡一觉。早安啦！,5,2,B,1,5
837,2,最近一直在看实习医生格蕾，从第一季一直看到了第五季，等我再把第七季看完差不多就是将近200集了…想要继续看下去，一直一直。[抓狂],5,2,B,1,5
530,3,"班主任:她叫张嘉雯,今天考试你们照顾一下她哦!我惊讶+微笑...监考老师:张嘉雯,你仔细一点的做,计算器没有的话和我说我帮你去借,你慢慢做好了!我:谢谢老师^_^.我的上帝丫!这一次真的昰被班主任老师感动到了~读了三年书第一次觉得他昰那么的和蔼可亲,那么的平易近人啊~喷泪ING~小V要转运咯~好人一生平安!",1,2,B,1,5
439,4,无语了！EMS显示6号上午已签收，我刚才去过收发室，人家说木有我的包裹。我又打电话到邮局问，被告知让我再去收发室问！TNND人家歇班了，礼拜一见吧您类~,6,2,B,1,5
623,5,如果需要这张图的无logo版本请评论里说明哦^ ^，光转发我也许会看不到....这张图我做了好久..想了想还是喜欢透明无色版的...感觉很舒服[心],3,2,B,1,5
492,6,三个人的宿舍一个孩子还要搬走，本来觉得挺难过的，但是突然想到那孩子的脚臭惨无人寰，这才醒悟，貌似他搬走了未尝不是件好事……,5,2,B,1,5
478,7,企业家也需要社会责任感！[赞]但澳门的博彩服务和会员服务的确做得很好，值得我们借鉴。//@天使投资唐:早几年我们在澳门博彩科技做得很大！可我不喜欢赌场里的烟味和疯狂的赌博风气，看到报纸上很多失控赌徒倾家荡产，心里很不舒服，所以我已经很久没碰过澳门博彩了。,6,2,B,1,5
867,8,我的天。。不要这样。。。气晕我咯。。//@翔少之勃:曾经在这架电梯上，被两个老女人看着我的EVISU大M裤子说：哎哟，居然还有人把麦当劳的广告穿在裤子上？[偷笑]//@Nicky-NOVO百貨:转发微博。,0,2,B,1,5
15,9,听说SimSimi最近很火？狗萌萌忍不住去试了试.......结果发现这货太特么黑了！！瞧瞧他各种吐槽，这小鸡太凶残.....注：SimSimi是一个国外开发的聊天app，以小鸡为自己形象。,0,2,B,1,5
638,10,那啥，SCM墨镜贼好看，那啥，大金衣服贼帅气，好了，我也说不出啥了，反正你们就是表达了两个意思，礼物很喜欢，然后今年也该到时候了对吧，过两天我就去街上转转，不知道从这边寄回去要不要交税。。。。,1,2,B,1,5
907,11,号外号外，各剧组各演员，进庙先进香，能有效预防交通事故。昨儿，咱家追尾了，在寺庙拍戏撞钟上了…唉！当医生在我头上穿针引线时，我咬牙感慨：这一路上，真的需要缝缝补补…,2,2,B,1,5
474,12,这两天去了黄山，正好前天山上是睛天，真是美不胜收。这是我第三次上黄山了，这次是最理想的。只是走了六个小时山路，回来几乎腿不能动了。,4,2,B,1,5
873,13,整理照片时，发现这两张照片！那年我们16岁，哈哈。。。鹏鹏那时好瘦啊。。。现在[汗]@-I-am-tao- @喝啥呦moon @王斌198305 @杨天磊,2,2,B,1,5
83,14,小吉那个事情啊。。有多少人是跟我一样，知道了之后捶胸顿足啊~~本以为花花公子不花了，像童话一样美好。现在桑心了有木有！找外遇也来找我嘛~~~,3,2,B,1,5
326,15,写稿写得头晕目眩耳鸣胸闷，肚子又饿了。是叫安徽料理？还是自己下厨？算了，自己下厨吧，外面风大雨大，不折腾外卖员了。,1,2,B,1,5
298,16,"嗯..那时候妈妈和姨母坐在四五排的位置,在介绍至亲出来的时候,我就看见pyt从等在舞台边上的时候就开始把手架在有焕的肩上,晃晃荡荡地走出来,站定位以后眼神就寻找到妈妈,然后娇羞地一笑--|||后来MC开秀妈玩笑的时候pyt就往妈妈这边看,我也回头看到妈妈笑得很开心[偷笑]",3,2,B,1,5
668,17,第一次听李宇春现场，真是不错。台风稳健，舞步轻盈，表现力很好。从超女舞台到今天的优秀成绩，努力加天赋加机遇，春春的成功不是偶然的。,0,2,B,1,5
894,18,我手上，包括眼睛都被油崩到。手是被锅沿烫的，眼睛是怕眼镜上弄上油污。就摘了，没想会蹦到，这都是先生不在家自己下厨的结果。,5,2,B,1,5
920,19,这次回家发现恩施已经嫣然变成湖北省内的一个旅游重镇了，武汉街头的广告非常多。可能确实得益于高速和铁路的开通。这是在机场的洗手间都全部是恩施旅游的宣传照。欢迎大家去体验一个原始的山区风情。,4,2,B,1,5
769,20,这真是碉堡了，给跪了。[bobo纠结]@此用户已存在2011 @这就是我花园 @勤劳的肖坤 @斎抧 @周踌琢,1,2,B,1,5
430,21,你是我的欢乐，是我的青春，是我的梦想，是那朵荆棘里开出的花，是我在2010最大的收获，是我的2011最美的序幕！,6,2,B,1,5
540,22,京沈高速显然比古浪到兰州的路况好太多。虽然中巴不如大巴舒适，但是现在显然几个晕车王的状态都比较平稳，让我比较放心。希望这种状态能一直保持到秦皇岛。,0,2,B,1,5
385,23,刚刚回来翻图看了下拍图时间~~发现早上9点14分晟敏更新的blog应该是在车上写好了...然后靠着这个柱子的时候发的~~应该是他发完的时候还后仰了一下~扭过脸偷偷的看了饭一眼...可爱shi了...但是没抓到那个瞬间...[委屈],1,2,B,1,5
479,24,从上往下看，很普通的款式哦，简约的字母t恤，没有丝毫特别。看到最下边才发现，原来衣襟做成了流苏，马上就不一样了潮起来了哈。,3,2,B,1,5
423,25,幸福不是你房子有多大，而是房子里的笑声有多甜。幸福不是你开多豪华的车，而是你开着车平安到家。幸福不是在你成功时的喝彩多热烈，而是失意时有个声音对你说：朋友别倒下！幸福不是你听过多少甜言蜜语，而是你伤心落泪时有人对你说：没事的，有我呢！--2011年的第一声问候，[@表达]新年快乐，各位！[红包],6,2,B,1,5
201,26,啊啊啊啊啊啊啊啊啊啊啊啊。和妈妈去凑饭局。第一次见那个深圳回来的阿姨。结果一开口就说。你喜欢周笔畅是不是啊。我就震惊了。后面接着。我和她家住隔壁栋。经常还碰见他爸妈。我！！！！！！！,1,2,B,1,5
53,27,闲的无聊在至恒暗域吧找点有趣的东东，。。结果发现了小美和前女友的照片。。。55555555555泪奔看图不解释,4,2,B,1,5
160,28,十二年前，被一部电视剧感动，十二年后，电影版的终于要上映了，昨天听了王菲与陈奕迅合作的主题曲《将爱》，很感动……今天听了陈奕迅的片尾曲《等你爱我》，反复听着歌，看着面画，那些曾经年轻的面孔已经有了岁月的痕迹，感谢生命中的他们让我们成长、沉稳、成熟……我会依然《将爱情进行到底》！,5,2,B,1,5
260,29,手里的ipod频繁的出问题，恼火啊恼火！我需要一个新的IPod classic！我是个正经人...所以腊八节不求包养求礼物！[围观],1,2,B,1,5
735,30,收到同事荣升做妈妈的短信，当时就被雷到了，粗心的妈妈居然把宝宝的出生年份写成2101年，我崩了个溃！不过可以感受到她的喜悦和紧张，嘿嘿，流氓阿姨祝三八妇女节出生的又一代侠女：健康快乐的成长！,3,2,B,1,5
624,31,哈尔滨飞北京的航班，从19：10延误到21：40，又延误到23：00，还有比这悲摧的事情吗？精疲力尽......,0,2,B,1,5
425,32,"某人提醒了我，还有人欠我顿饭呢@你乐爷爷 一起蹭吃蹭喝去？//@kk-iaven：无聊 [鄙視]//@你乐爷爷:是啊必须吃好的去我们,你也去??蹲地上?不知道大董那种地方让不让你进[呵呵]",5,2,B,1,5
